Frequency (1/cm), 100%, 89.58%, 79.26%, 69.04%, 58.91%, 48.87%, 38.92%, 29.06%, 19.28%, 9.6%, 0% 
23.093,1.5435,1.2645,1.125,1.0066,0.91087,0.86274,0.78305,0.74743,0.74125,0.6962,0.66005
23.606,1.572,1.2898,1.149,1.0289,0.93225,0.88326,0.80263,0.76625,0.75969,0.71423,0.67711
24.119,1.601,1.3159,1.1737,1.052,0.95449,0.90463,0.82315,0.78608,0.77902,0.73316,0.69509
24.632,1.6306,1.3429,1.1994,1.0761,0.97778,0.92703,0.84478,0.80711,0.79942,0.75315,0.71417
25.146,1.6611,1.3709,1.2262,1.1013,1.0022,0.95059,0.86764,0.82945,0.82102,0.77432,0.73449
25.659,1.6925,1.4001,1.2541,1.1277,1.028,0.9754,0.89179,0.85317,0.84391,0.79674,0.75611
26.172,1.7248,1.4304,1.2832,1.1553,1.0549,1.0015,0.91722,0.87822,0.86809,0.82039,0.77904
26.685,1.758,1.4618,1.3134,1.184,1.083,1.0287,0.94378,0.90446,0.89345,0.84516,0.80315
27.198,1.792,1.4941,1.3444,1.2135,1.112,1.0568,0.97123,0.9316,0.91978,0.87081,0.82822
27.711,1.8265,1.5269,1.3759,1.2436,1.1416,1.0855,0.99922,0.95926,0.94675,0.89703,0.85393
28.225,1.8612,1.5598,1.4075,1.2738,1.1713,1.1145,1.0273,0.98699,0.97394,0.92341,0.87987
28.738,1.8957,1.5923,1.4387,1.3037,1.2006,1.1432,1.0551,1.0143,1.0009,0.94951,0.90558
29.251,1.9294,1.624,1.4691,1.3327,1.2291,1.1712,1.082,1.0406,1.0272,0.97491,0.93061
29.764,1.962,1.6543,1.4981,1.3605,1.2563,1.1981,1.1078,1.0656,1.0524,0.99921,0.95459
30.277,1.993,1.6831,1.5255,1.3868,1.2819,1.2236,1.1321,1.089,1.0761,1.0221,0.9772
30.791,2.0222,1.7098,1.551,1.4112,1.3056,1.2473,1.1548,1.1104,1.0983,1.0435,0.99823
31.304,2.0493,1.7346,1.5744,1.4337,1.3274,1.2693,1.1757,1.1299,1.1186,1.0631,1.0176
31.817,2.0742,1.7571,1.5957,1.4542,1.3471,1.2894,1.1948,1.1475,1.1371,1.0811,1.0352
32.33,2.0969,1.7777,1.615,1.4729,1.3649,1.3076,1.2123,1.1632,1.1538,1.0974,1.0513
32.843,2.1175,1.7963,1.6324,1.4898,1.3809,1.3242,1.2284,1.1772,1.1689,1.1122,1.0658
33.356,2.1362,1.8132,1.6481,1.5052,1.3953,1.3393,1.2433,1.1898,1.1825,1.1257,1.0791
33.87,2.1533,1.8288,1.6625,1.5193,1.4084,1.3531,1.2572,1.2012,1.1948,1.138,1.0913
34.383,2.1691,1.8433,1.6759,1.5327,1.4205,1.366,1.2706,1.2119,1.2062,1.1495,1.1027
